"module","total_mutants","killed_mutants","survived_mutants","mutation_score_percent"
"Authentication and authorization","2","2","0","100"
"Cart management","1","0","1","0"
"Product catalog and listing","2","1","1","50"
"Order lifecycle","2","2","0","100"
"OVERALL","7","5","2","71.43"
